latitude,longitude
51.36051235,4.412913521
51.3593968,4.863155737
51.3592119,4.8665177
51.3590905,4.8641884
51.3590197,4.6420219
51.3589903,4.962965918
51.35897295,4.311480075
51.35897295,4.311480075
51.3582398,4.864233777
51.35790515,4.858932501
51.3578973,4.8627098
51.3578865,4.541051565
51.3578659,4.3171674
51.3574213,4.8250659
51.3572419,4.863847174
51.3562072,4.829483849
51.3557747,4.868458145
51.3554598,4.8256364
51.35545725,3.301321469
51.3551904,3.305179878
51.35492885,3.298985828
51.35447845,4.633729168
51.3542798,5.1459556
51.3536497,3.2910503
51.3515351,4.762902
51.3514759,4.414428038
51.3514759,4.414428038
51.35081365,3.317737621
51.3502198,4.6385117
51.3500148,4.3983004
51.3492033,4.315807516
51.34910805,4.76113379
51.3488888,3.1725537
51.34865865,3.278607929
51.3480465,4.3310032
51.3479071,3.2744877
51.3477095,4.3997978
51.3472025,4.460437482
51.34705545,4.330403713
51.3464821,4.3242703
51.34546635,4.679209843
51.3448353,4.2863934
51.3448353,4.2863934
51.3442936,4.3215471
51.3439826,4.3213438
51.3436466,3.280067769
51.3426405,4.6048785
51.3412149,4.786121594
51.34105865,4.752109669
51.340353,4.6879774
51.33987865,3.290595037
51.33967555,3.289168635
51.33967555,3.289168635
51.33955455,3.291443283
51.3393659,4.381906
51.3389613,3.2864245
51.3387186,3.290427214
51.3383925,3.274050044
51.3383062,4.970756901
51.3380493,3.237406603
51.3378427,5.1009582
51.33779295,3.251829634
51.33779295,3.251829634
51.3373184,3.24527657
51.3370668,3.202607421
51.33698325,4.976076356
51.336548,4.65552525
51.3359965,4.5021907
51.335928,4.3675965
51.335683,3.252348851
51.3352352,3.234297254
51.33512725,4.728599195
51.3349682,3.2037325
51.3349682,3.2037325
51.33489035,4.921437014
51.3347526,4.7290471
51.3347158,4.40898275
51.3346154,3.2194966
51.3346028,5.0000246
51.33385155,3.237295934
51.333317,4.3421566
51.3317121,4.963721443
51.3316192,5.125501623
51.3316192,5.125501623
51.3314609,4.9877162
51.331249,4.364897535
51.33120385,5.076838101
51.330786,4.8839452
51.3307742,5.0797329
51.3304739,4.949284041
51.33003075,4.408415635
51.3293453,4.782261805
51.32878715,3.178758412
51.3286803,3.2056727
51.3286388,4.527041896
51.3285903,4.360619
51.3285903,4.360619
51.32854195,4.5304087
51.32832545,3.189760649
51.3273638,5.003373434
51.327345,4.784312
51.3269987,4.9467047
51.3269589,4.52356495
51.3269454,4.950121495
51.3269454,4.950121495
51.3269251,4.9138497
51.3267372,4.3842323
51.32670895,3.203345857
51.3262169,4.5169533
51.3262169,4.5169533
51.3261967,4.7949694
51.3261251,4.85426038
51.3260368,4.865960734
51.32571415,4.354339716
51.3256741,4.9471138
51.32567325,5.092661077
51.3255596,4.954226499
51.32530555,4.521593998
51.325277,4.977907915
51.325277,4.977907915
51.3249976,4.9390218
51.3246257,4.945722682
51.3240487,4.9458407
51.3239401,4.9353904
51.32381305,4.831768567
51.3236362,4.2968017
51.3236362,4.2968017
51.3236362,4.2968017
51.323228,4.942933198
51.32318835,4.947483483
51.3228695,4.4350152
51.32286895,5.085242532
51.3226921,4.951076701
51.3223582,4.971787086
51.3223582,4.971787086
51.32222195,4.374507124
51.32196725,5.085550555
51.3218052,5.093267136
51.3217748,4.854360697
51.3217319,4.24981
51.3217319,4.24981
51.3217319,4.24981
51.3217319,4.24981
51.3217319,4.24981
51.3217319,4.24981
51.3217319,4.24981
51.3216513,3.288407
51.3215505,4.9860054
51.3212816,3.2186263
51.32120865,5.079951008
51.3205285,4.9278621
51.3203557,4.92379705
51.3203006,4.963536966
51.3201026,4.943804987
51.31991915,4.951935257
51.31960995,4.936877895
51.3195845,5.0881773
51.3195152,4.8555808
51.3194964,3.19251165
51.3194147,4.423881
51.319265,4.9637517
51.3192362,4.34872
51.3192362,4.34872
51.3190891,4.9192753
51.319053,4.93648543
51.3189652,4.9184172
51.3188273,3.302900086
51.3188043,4.9768735
51.3187511,5.1340157
51.3186717,4.976918732
51.3185529,4.50853675
51.31842525,3.180476818
51.3183946,5.133347303
51.3177043,3.293866978
51.3177043,3.293866978
51.3177043,3.293866978
51.3177043,3.293866978
51.3177043,3.293866978
51.3177043,3.293866978
51.3177043,3.293866978
51.3175338,4.929279024
51.3173864,4.982260218
51.317382,4.339041761
51.3173663,4.433773266
51.3173536,3.1929661
51.317215,4.982854964
51.317215,4.982854964
51.31717115,4.431825537
51.31701245,4.834179396
51.3168328,3.131884279
51.3167243,5.0859183
51.31669655,3.190687213
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
51.31659485,4.295322461
