,base,medical_resource,province,region,departure_location,departure_location_number,latitude,longitude,occasional_permanence
68,FB PDS SCHA [PASI Paul Brien] SIAMU,AMB BRIEN 1 (Team: ABSCHA01A)_x000D_AMB BRIEN 2 (Team: ABSCHA02A)_x000D_AMB BRIEN 3 (Team: ABSCHA03A),,Brussels Hoofdstedelijk Gewest,Avenue Brietsiers 11B 1030 SCHAERBEECK,24110,50.8674778,4.3773347,N
69,FB PDS UCCL [PASI Chênai] SIAMU,AMB CHENAIE (Team: ABUCCL01A),,Brussels Hoofdstedelijk Gewest,Avenue De La Chênaie 161C 1180 UCCLE,24108,50.7832343,4.3559251,N
70,FF PDS NIVE Brabant Wallon,AMB NIVELLES 1 (Team: AFNIVE01A)_x000D_AMB NIVELLES 2 (Team: AFNIVE02A),Waals-Brabant,Waals Gewest,Chaussee De Charleroi 46C 1400 NIVELLES,20001,50.5813404,4.3389817,N
71,FG PDS ANS_ Liège IILE,ZS ANS (Team: AGANS_01A),Luik,Waals Gewest,Rue Jean Jaurès 4000 ANS,61002,50.6550814,5.5293122,N
72,FG PDS EUPE DG,ZS.EUPEN 1 (Team: AGEUPE01A)_x000D_ZS.EUPEN 2 (Team: AGEUPE02A),Luik,Waals Gewest,Kehrweg 9D 4700 EUPEN,66002,50.6266486,6.0434467,N
73,FG PDS FLEM Liège IILE,ZS FLEMALLE 1 (Team: AGFLEM01A),Luik,Waals Gewest,Grand'Route 269 4400 FLEMALLE,61003,50.5995332,5.4720475,N
74,FG PDS HANN Hesbaye,ZS.HANNUT 1 (Team: AGHANN01A)_x000D_ZS.HANNUT 2 (Team: AGHANN02A)_x000D_ZS.HANNUT 3 (Team: AGHANN03A),Luik,Waals Gewest,Rue Joseph Wauters 65 4280 HANNUT,60001,50.673831,5.091516,N
75,FG PDS HERV [Battice] Vesdre Hoëgne Plateau,ZS.BATTICE 1 (Team: AGHERV01A),Luik,Waals Gewest,Rue de Chesseroux 4650 HERVE,64002,50.64775,5.80788,N
76,FG PDS KELM DG,ZS.KELMIS 1 (Team: AGCALA01B),Luik,Waals Gewest,Altenbergstrasse 108 4728 KELMIS,66003,50.7163786,6.0118139,N
77,FG PDS LIEG [Caserne] Liège IILE,ZS LIEGE 6 (Team: AGLIEG06A),Luik,Waals Gewest,Rue Ransonnet 5 4020 LIEGE,61001,50.6445312,5.5869718,N
78,FG PDS PEPI Vesdre Hoëgne Plateau,ZS.PEPINST (Team: AGPEPI01A),Luik,Waals Gewest,Rue Jean Simon 7 4860 PEPINSTER,64005,50.5660359,5.8028664,N
79,FG PDS SPA_ Vesdre Hoëgne Plateau,AMB SPA (Team: AGSPA_01A),Luik,Waals Gewest,Rue Brixhe 1 4900 SPA,64004,50.4937308,5.8667947,N
80,FG PDS SVIT DG,ZS.STVITH 1 (Team: AGSVIT01A),Luik,Waals Gewest,Alte Aachenerstrasse 23 4780 SAINT-VITH,66001,50.2855367,6.126939,N
81,FG PDS WARE Hesbaye,ZS.WAREM 1 (Team: AGWARE01A)_x000D_ZS.WAREM 2 (Team: AGWARE02A),Luik,Waals Gewest,Rue Ernest Malvoz 30 4300 WAREMME,60002,50.6942287,5.2573006,N
82,FG PDS WELK Vesdre Hoëgne Plateau,ZS.WELKENR (Team: AGWELK01A),Luik,Waals Gewest,Rue Mitoyenne 229 4840 WELKENRAEDT,64003,50.6638599,5.9771342,N
83,FH PDS ATH_ Wallonie Picarde,AMB ATH 1 (Team: AHATH_01A)_x000D_AMB ATH 2 (Team: AHATH_02A),Henegouwen,Waals Gewest,Chemin de Bilhée 112 7804 REBAIX,51011,50.6591239,3.7931957,N
84,FH PDS BEAU Hainaut Est,AMB BEAUMONT 1 (Team: AHBEAU01A)_x000D_AMB BEAUMONT 2 (Team: AHBEAU02A),Henegouwen,Waals Gewest,Chaussee  De Mons 17 6500 BEAUMONT,52005,50.2407481,4.2349556,N
85,FH PDS BELO Wallonie Picarde,AMB BELOEIL (Team: AHBELO01A),Henegouwen,Waals Gewest,Rue De La Forgette 2 7970 BELOEIL,51005,50.5502097,3.7376916,N
86,FH PDS BERN Wallonie Picarde,AMB BLATON (Team: AHBERN01A)_x000D_AMB BLATON (Team: AHBERN02A),Henegouwen,Waals Gewest,Avenue de l'Europe 1 7321 BLATON,51013,50.5174431,3.6814769,N
87,FH PDS BINC Hainaut Centre,AMB BINCHE (Team: AHBINC01A),Henegouwen,Waals Gewest,Rue de la Pépinière 57 7130 BINCHE,53010,50.4153824,4.1638782,N
88,FH PDS BRAI Hainaut Centre,AMB BRAINE-LE-COMTE (Team: AHBRAI01A),Henegouwen,Waals Gewest,Rue Des Etats-Unis 9 7090 BRAINE-LE-COMTE,53001,50.6068183,4.135878,N
89,FH PDS CHAR [Jumet] Hainaut Est,AMB JUMET 4 (Team: AHCHAR04A)_x000D_ZS JUMET 1 (Team: AHCHAR13A),Henegouwen,Waals Gewest,1ère Rue Zoning Industriel 6040 JUMET,52002,50.45531,4.45141,N
90,FH PDS CHIM Hainaut Est,AMB CHIMAY 1 (Team: AHCHIM01A)_x000D_AMB CHIMAY 2 (Team: AHCHIM02A),Henegouwen,Waals Gewest,Chaussee De Mons 37A 6460 CHIMAY,52003,50.0554401,4.3070437,N
91,FH PDS COMI Wallonie Picarde,AMB COMINES (Team: AHCOMI01A),Henegouwen,Waals Gewest,Chaussée d'Ypres 55 7784 WARNETON,51002,50.7590067,2.9426115,N
92,FH PDS DOUR Hainaut Centre,AMB DOUR (Team: AHDOUR01A),Henegouwen,Waals Gewest,Rue Victor Regnart 10 7370 DOUR,53006,50.3921289,3.7748325,N
93,FH PDS ENGH Hainaut Centre,AMB ENGHIEN (Team: AHENGH01A),Henegouwen,Waals Gewest,Rempart St Christophe 37 7850 ENGHIEN,53004,50.6946554,4.0327946,N
94,FH PDS ESTA Wallonie Picarde,ZS EVERGNIES 1 (Team: AHESTA01A)_x000D_ZS EVERGNIES 2 (Team: AHESTA02A),Henegouwen,Waals Gewest,Rue de la Couronne 69 7730 EVREGNIES,51012,50.7146464,3.2721489,N
95,FH PDS LEUZ Wallonie Picarde,AMB LEUZE (Team: AHLEUZ01A),Henegouwen,Waals Gewest,Tour St Pierre 13 7900 LEUZE,51001,50.6013804,3.6223468,N
96,FH PDS LOUV Hainaut Centre,AMB LA LOUVIERE 1 (Team: AHLOUV01A)_x000D_AMB LA LOUVIERE 2 (Team: AHLOUV02A),Henegouwen,Waals Gewest,Bld Roi Baudoin 1 7100 LA LOUVIERE,53005,50.4669821,4.1932998,N
97,FH PDS MONS [Cuesmes] Hainaut Centre,AMB COVID Mons 2 (Team: AHMONS05A)_x000D_AMB MONS 1 (Team: AHMONS01A)_x000D_ZS MONS 2 (Team: AHMONS02A)_x000D_ZS MONS 3 (Team: AHMONS03A),Henegouwen,Waals Gewest,Rue Des Sandrinettes 29 7033 CUESMES,53008,50.4459734,3.9178949,N
98,FH PDS MOUS Wallonie Picarde,AMB MOUSCRON 3 (Team: AHMOUS03A),Henegouwen,Waals Gewest,Avenue Du Barry 9 7700 MOUSCRON,51010,50.7350546,3.2188905,N
99,FH PDS QUIE Hainaut Centre,AMB QUIEVRAIN (Team: AHQUIE01A),Henegouwen,Waals Gewest,Place Du Ballodrome 7380 QUIEVRAIN,53007,50.4053612,3.6846471,N
100,FH PDS SOIG Hainaut Centre,AMB SOIGNIES (Team: AHSOIG01A),Henegouwen,Waals Gewest,Rue De La Senne 72 7060 SOIGNIES,53003,50.5829921,4.0684567,N
