,base,medical_resource,province,region,departure_location,departure_location_number,latitude,longitude,occasional_permanence
257,FF PDS BRAL Brabant Wallon,AMB BRAINE-L'ALLEUD 1 (Team: AFBRAL01A)_x000D_AMB BRAINE-L'ALLEUD 2 (Team: AFBRAL02A)_x000D_AMB BRAINE-L'ALLEUD 3 (Team: AFBRAL03A),Waals-Brabant,Waals Gewest,Chaussee De Mont St Jean 120 1420 BRAINE L ALLEUD,20003,50.6860068,4.395409,Y
258,FF PDS TUBI Brabant Wallon,AMB TUBIZE 1 (Team: AFTUBI01A)_x000D_AMB TUBIZE 2 (Team: AFTUBI02A),Waals-Brabant,Waals Gewest,Rue Ferrer 91 1480 TUBIZE,20004,50.6901666,4.1973583,Y
259,FF PDS WAVR Brabant Wallon,AMB WAVRE 1 (Team: AFWAVR01A)_x000D_AMB WAVRE 2 (Team: AFWAVR02A)_x000D_AMB WAVRE 3 (Team: AFWAVR03A),Waals-Brabant,Waals Gewest,Chaussee De Namur 115 1301 WAVRE,20002,50.6990584,4.6148261,Y
260,FG PDS AYWA Warche Amblève Lienne,ZS.AYWAIL 1 (Team: AGAYWA01A)_x000D_ZS.AYWAIL 2 (Team: AGAYWA02A)_x000D_ZS.AYWAIL 3 (Team: AGAYWA03A),Luik,Waals Gewest,Playe 50 4920 AYWAILLE,65001,50.4909798,5.7145851,Y
261,FG PDS HAMO HEMECO,ZS.HAMOIR (Team: AGHAMO01A)_x000D_ZS.HAMOIR 2 (Team: AGHAMO02A),Luik,Waals Gewest,Rue De Tohogne 14 4180 HAMOIR,62002,50.4255161,5.5284297,Y
262,FG PDS HUY_ HEMECO,ZS HUY 1 (Team: AGHUY_01A)_x000D_ZS HUY 2 (Team: AGHUY_02A)_x000D_ZS HUY 3 (Team: AGHUY_03A),Luik,Waals Gewest,Rue De La Mairie 30 4500 HUY,62001,50.5308662,5.2672369,Y
263,FG PDS LIEG [Battice] Vesdre Hoëgne Plateau,ZS.BATTICE 2 (Team: AGHERV02A),Luik,Waals Gewest,Place Du Marche 1 4651 BATTICE,64002,50.6478461,5.8213157,Y
264,FG PDS STAV Warche Amblève Lienne,ZS.STAVEL1 (Team: AGSTAV01A)_x000D_ZS.STAVEL2 (Team: AGSTAV02A),Luik,Waals Gewest,Route De Malmedy 17 4970 STAVELOT,65002,50.4012961,5.9453535,Y
265,FG PDS VERV Vesdre Hoëgne Plateau,ZS.VERV 1 (Team: AGVERV01A)_x000D_ZS.VERV 2 (Team: AGVERV02A)_x000D_ZS.VERV 3 (Team: AGVERV03A)_x000D_ZS.VERV 4 (Team: AGVERV04A),Luik,Waals Gewest,Rue Simon Lobet 36 4800 VERVIERS,64001,50.5858941,5.8703653,Y
266,FH PDS CHAR [Marcinelle] Hainaut Est,AMB CHARLEROI 1 (Team: AHCHAR01A)_x000D_AMB CHARLEROI 2 (Team: AHCHAR02A)_x000D_AMB CHARLEROI 3 (Team: AHCHAR03A)_x000D_AMB COVID Charleroi (Team: AHCHAR11A),Henegouwen,Waals Gewest,Rue de la Tombe 112 6001 MARCINELLE,52001,50.3906081,4.4173694,Y
267,FH PDS CHIE Hainaut Centre,AMB CHIÈVRES 1 (Team: AHLENS01A)_x000D_AMB CHIÈVRES Bariatrique 2 (Team: AHLENS02A),Henegouwen,Waals Gewest,Rue de la Croix 112 7870 BAUFFE,53009,50.5737411,3.8586497,Y
268,FL HVP MAAE Oost Limburg,ZW MAASEIK 1 (Team: ALMAAE01A)_x000D_ZW MAASEIK 2 (Team: ALMAAE02A),Limburg,Vlaams Gewest,"Gremelsloweg, 7A 3680 MAASEIK",71002,51.1050276,5.7503557,Y
269,FN PDS DINA DINAPHI,ZS DINANT 1 (Team: ANDINA01A)_x000D_ZS DINANT 2 (Team: ANDINA02A)_x000D_ZS DINANT 3 (Team: ANDINA03A),Namen,Waals Gewest,Route de Philippeville 236 5500 DINANT,92007,50.2532753,4.8979837,Y
270,FO HVP WETT Zuid Oost,ZW WETTEREN 1 (Team: AOWETT01A)_x000D_ZW WETTEREN 2 (Team: AOWETT02A),Oost-Vlaanderen,Vlaams Gewest,Zuiderdijk 1 9230 WETTEREN,46501,51.0076947,3.8799267,Y
271,FV HVP ASSE West,ZW ASSE (Team: AVASSE01A)_x000D_ZW ASSE 2 (Team: AVASSE02A),Vlaams-Brabant,Vlaams Gewest,Asphaltcosite 110 1730 ASSE,24004,50.9079997,4.2098889,Y
272,FX PDS MARC Luxembourg,ZS.MARCHE 1 (Team: AXMARC01A)_x000D_ZS.MARCHE 2 (Team: AXMARC02A)_x000D_ZS.MARCHE 3 (Team: AXMARC03A),Luxemburg,Waals Gewest,Parc Industriel 12 6900 MARCHE,80012,50.22138,5.3303017,Y
273,FX PDS PALI Luxembourg,ZS.PALISEUL 1 (Team: AXPALI01A)_x000D_ZS.PALISEUL 2 (Team: AXPALI02A),Luxemburg,Waals Gewest,Rue De La Station 52 6850 PALISEUL,80005,49.9000041,5.1266042,Y
274,FX PDS SHUB Luxembourg,ZS.STHUBERT 1 (Team: AXSHUB01A)_x000D_ZS.STHUBERT 2 (Team: AXSHUB02A),Luxemburg,Waals Gewest,Route De Poix 23 6870 SAINT-HUBERT,80003,50.0256325,5.3596412,Y
275,HG UR HERS Andre Renard,AMB OCC HERSTAL (Team: AGTIHARE1),Luik,Waals Gewest,Rue André Renard 1 4040 HERSTAL,63601,50.6748034,5.6336647,Y
276,HG UR LIEG CHR Citadelle,AMB LIEGE CHR (Team: AGLIEG09A)_x000D_AMB OCC CHR DE LA CITADELLE (Team: AGTIHCHR1),Luik,Waals Gewest,Allée De L'Absent 1 4000 LIEGE,67201,50.6528879,5.5783562,Y
277,HG UR LIEG CHU Notre Dame Bruyeres,(Team: AGTIHCHU1),Luik,Waals Gewest,Rue de Gaillarmont 600 4030 LIEGE,63602,50.6225226,5.6363809,Y
278,HULPVERLENINGSZONE ZUIDWEST LIMBURG,ZW ST-TRUIDEN 2 (Team: ALSTRU02A),Limburg,Vlaams Gewest,Hasseltsesteenweg 80 3500 HASSELT,73007,50.8282977,5.2008548,Y
