id,type,address,number,postal_code,municipality,province,location,public,available,hours,country,latitude,longitude
364.0,,Place des Sports,3.0,1348.0,Louvain-la-Neuve,Brabant Wallon,,,,,Belgium ,50.670199,4.6014444
429.0,,Place des sports,1.0,1348.0,Louvain-la-Neuve,Brabant Wallon,,Y,,,Belgium ,50.670199,4.6014444
430.0,,Rue du Castinia,,1348.0,Louvain-la-Neuve,Brabant Wallon,,,,,Belgium ,50.6702865,4.6052193
621.0,,Place de l Accueil,10.0,1348.0,Louvain-la-Neuve,Brabant Wallon,,,,,Belgium ,50.670443,4.6161039
733.0,,Place de l Université ,1.0,1348.0,Louvain-la-Neuve,Brabant Wallon,,,,,Belgium ,50.6699575,4.6155173
779.0,,Rue Laid Burniat,5.0,1348.0,Louvain-la-Neuve,Brabant Wallon,,,,,Belgium ,50.6641533,4.6345853
805.0,,Rue Jean Etienne Lenoir,,1348.0,Louvain-la-Neuve,Brabant Wallon,,,,,Belgium ,50.6639013,4.6270095
956.0,,Allée de Clerlande ,6.0,1340.0,Ottignies,Brabant Wallon,,,,,Belgium ,50.6791228,4.5910455
1015.0,,Pl. Pierre de Coubertin,1.0,1348.0,Louvain-la-Neuve,Brabant Wallon,,Y,,,Belgium ,50.6704727,4.6069389
1254.0,,Rue du Cyclotron ,1348.0,1348.0,Louvain-la-Neuve,Brabant Wallon,,,,,Belgium ,50.67385669999999,4.6151693
1417.0,,Avenue des Combattants,,1340.0,Ottignies,Brabant Wallon,,,,,Belgium ,50.6660309,4.5673452
1557.0,,Rue du Bosquet,9.0,1348.0,Louvain-la-Neuve,Brabant Wallon,,Y,,,Belgium ,50.6605271,4.6288818
1901.0,,Place des Sports,1.0,1348.0,Louvain-la-Neuve,Brabant Wallon,piste d athlétisme extérieure,,,,Belgium ,50.670199,4.6014444
2134.0,,Granbonpré,,1348.0,Louvain-la-Neuve,Brabant Wallon, 1ière étage,,,,Belgium ,50.6627936,4.640438
2137.0,,Rue du Bosquet,4.0,1348.0,Louvain-la-Neuve,Brabant Wallon,hall accueil,,,,Belgium ,50.6605271,4.6288818
2194.0,,Place Montesquieu,2.0,1348.0,Louvain-la-Neuve,Brabant Wallon,hall entrée bât. Thomas Morre,Y,,,Belgium ,50.6679106,4.611555
2284.0,,Boulevard De Lauzelle,65.0,1348.0,Louvain-la-Neuve,Brabant Wallon,couloir d entrée,,,,Belgium ,50.6728665,4.6065641
2331.0,,Avenue de Lauzelle,61.0,1348.0,LOUVAIN-LA-NEUVE,Brabant Wallon,"rez, entrée principal",,,,Belgium ,50.669517,4.5955206
2559.0,,Place Cardinal Mercier,10.0,1348.0,Louvain-la-Neuve,Brabant Wallon,entrée,Y,,,Belgium ,50.6700753,4.6105271
2618.0,,Blvd de Lauzelle,,1348.0,Louvain-la-Neuve,Brabant Wallon,,,,,Belgium ,50.6728665,4.6065641
2642.0,,Avenue Huyberechts,13.0,1340.0,Heppignies,Brabant Wallon,rez,,,,Belgium ,50.503887,4.469936
2710.0,,Place des Sports,1.0,1348.0,Louvain-la-Neuve,Brabant Wallon,terrain F1/F2,y,,,Belgium ,50.670199,4.6014444
3498.0,,Place du Levant ,2.0,1348.0,Louvain-la-Neuve,Brabant Wallon,hall d entrée,Y,,,Belgium ,50.6685108,4.6228151
3789.0,,Avenue Albert Einstein ,5.0,1348.0,Louvain-la-Neuve,Brabant Wallon,"secrétariat,l entrée bâti",,,,Belgium ,50.6654116,4.6286016
4031.0,,Rue Fond Jean Pâques ,2.0,1348.0,Louvain-la-Neuve,Brabant Wallon,hall parking arrière,,,,Belgium ,50.66109,4.63782
4104.0,,Avenue De Molder,54.0,1340.0,Ottignies,Brabant Wallon,entrée - rez,,,,Belgium ,50.678013,4.5635641
4289.0,,Chemin du Cyclotron,6.0,1348.0,Louvain-la-Neuve,Brabant Wallon,"rez de ch, hall d accueil",,,,Belgium ,50.6660998,4.6239607
4290.0,,Rue Louis de Geer,6.0,1348.0,Louvain-la-Neuve,Brabant Wallon,"rez de ch, hall d accueil",,,,Belgium ,50.6664515,4.6247485
